date,open,high,low,close,volume
2017-01-03,51.99,52.5,51.77,51.98,13295607
2017-01-04,52.23,53.345,52.09,53.07,13757598
2017-01-05,52.92,53.1,52.44,53.06,8682151
2017-01-06,53.09,54.09,52.98,53.91,12532449
2017-01-09,53.96,53.99,53.215,53.38,8835265
2017-01-10,53.55,53.7301,53.11,53.11,8041852
2017-01-11,53.12,53.29,52.665,52.69,8208307
2017-01-12,52.51,52.69,52.16,52.4,7368654
2017-01-13,52.59,52.93,52.23,52.92,6694067
2017-01-17,53.4,53.95,53.01,53.65,9888451
2017-01-18,53.86,53.89,52.86,53.27,6742444
2017-01-19,53.84,53.94,52.89,52.93,8320612
2017-01-20,53.22,53.352,52.9,53.2,7860847
2017-01-23,53.02,53.26,52.7247,53.24,7025695
2017-01-24,53.02,53.57,52.99,53.45,6321310
2017-01-25,53.73,54.12,53.69,53.86,6675011
2017-01-26,54.11,54.12,53.36,53.65,6201845
2017-01-27,53.68,54.08,53.03,53.19,7361878
2017-01-30,52.78,53.22,52.41,53.08,9770223
2017-01-31,51.68,52.9,51.63,52.9,12284427
2017-02-01,52.98,53.26,52.61,53.02,8810837
2017-02-02,53.0,53.01,52.4801,52.8,7874179
2017-02-03,52.62,52.805,52.25,52.36,8850413
2017-02-06,52.09,52.8,52.05,52.8,7354956
2017-02-07,53.07,53.28,52.67,52.81,6446876
2017-02-08,52.74,53.94,52.7,53.88,9280934
2017-02-09,53.93,55.7,53.93,55.31,14345385
2017-02-10,55.63,56.47,55.63,56.22,14973383
2017-02-13,56.17,56.34,55.75,56.09,7679800
2017-02-14,55.92,56.69,55.83,56.45,8891430
2017-02-15,56.29,56.76,56.21,56.64,6651971
2017-02-16,56.88,56.92,56.1,56.29,8374192
2017-02-17,56.12,56.8,55.86,56.75,12637733
2017-02-21,56.38,57.45,56.2,57.36,10955030
2017-02-22,57.48,58.38,57.36,58.24,10914088
2017-02-23,58.11,58.4,57.27,57.39,12316307
2017-02-24,57.39,58.42,57.07,57.86,9684155
2017-02-27,57.65,57.83,57.3488,57.69,4375503
2017-02-28,57.37,57.55,56.855,57.16,7951164
2017-03-01,57.86,58.03,57.33,57.95,8558904
2017-03-02,57.9,58.25,57.65,57.8,6436688
2017-03-03,57.63,57.65,56.51,56.7,9192475
2017-03-06,56.7,56.93,56.53,56.77,6896754
2017-03-07,56.71,56.99,56.02,56.55,7124367
2017-03-08,56.94,56.94,56.31,56.51,7604792
2017-03-09,56.61,56.66,56.09,56.36,6165660
2017-03-10,56.49,56.99,56.26,56.43,8882395
2017-03-13,56.4,56.815,56.11,56.67,7235882
2017-03-14,56.87,58.01,56.72,57.28,9286917
2017-03-15,57.63,57.99,56.75,57.66,10067524
2017-03-16,57.43,57.72,56.83,57.6,9894955
2017-03-17,57.77,57.885,57.31,57.8,10791471
2017-03-20,58.0,58.81,57.96,58.68,13352530
2017-03-21,58.78,59.0,57.72,58.01,15269827
2017-03-22,54.76,55.0,53.76,53.92,374134
2017-03-23,54.61,55.55,54.52,55.37,23848344
2017-03-24,55.29,56.64,55.12,56.36,14438573
2017-03-27,55.64,56.249,55.54,55.93,8663611
2017-03-28,55.99,56.78,55.79,56.62,7823943
2017-03-29,56.41,57.1,56.35,56.68,7456208
2017-03-30,56.48,56.6,55.81,56.04,7210468
2017-03-31,56.0,56.03,55.645,55.73,5905639
2017-04-03,55.74,55.8,55.15,55.56,7088088
2017-04-04,55.15,55.3,54.83,55.04,8843216
2017-04-05,54.97,55.8,54.5,54.98,7722093
2017-04-06,55.07,55.94,54.94,55.14,6692225
2017-04-07,55.1,55.24,54.77,55.11,6078250
2017-04-10,55.0,55.33,54.721,54.9,5472680
2017-04-11,54.95,55.0699,54.55,54.92,4348643
2017-04-12,54.66,55.62,54.5,55.57,8504108
2017-04-13,55.41,55.6,55.26,55.34,5282110
2017-04-17,55.32,56.335,55.25,56.24,7688742
2017-04-18,56.02,56.42,55.8,56.11,5651118
2017-04-19,56.16,56.22,55.74,55.86,5947674
2017-04-20,55.96,56.69,55.881,56.4,6867130
2017-04-21,56.29,56.38,55.68,55.85,6055624
2017-04-24,56.14,56.21,55.47,55.47,10777733
2017-04-25,55.53,55.77,55.41,55.45,8569029
2017-04-26,55.46,55.84,55.12,55.16,10873447
2017-04-27,55.18,55.57,54.91,55.47,8531229
2017-04-28,55.43,55.53,55.14,55.41,6415324
2017-05-01,55.43,55.45,54.98,54.99,4868204
2017-05-02,55.12,55.16,54.79,55.07,7273355
2017-05-03,55.17,55.3,54.4,54.53,9471796
2017-05-04,54.68,54.83,54.2,54.47,6822606
2017-05-05,54.41,54.5,53.56,53.95,13231643
2017-05-08,54.18,54.51,53.83,54.3,8719555
2017-05-09,54.33,55.08,54.16,54.89,6337070
2017-05-10,54.91,55.06,54.51,54.56,5806153
2017-05-11,54.52,54.52,53.4,54.24,6391871
2017-05-12,54.1,54.39,53.79,54.2,5549459
2017-05-15,54.12,54.2,53.68,53.77,8187705
2017-05-16,52.37,53.38,52.12,52.78,14525878
2017-05-17,52.39,52.87,51.8,51.8,18311492
2017-05-18,51.97,52.08,51.3,51.68,22559314
2017-05-19,51.0,52.11,50.81,51.77,20025859
2017-05-22,51.77,51.96,51.4,51.57,13668910
2017-05-23,51.98,52.625,51.88,52.2,11081842
2017-05-24,52.25,52.3,51.74,52.01,9383620
2017-05-25,52.38,52.59,52.21,52.35,7622628
2017-05-26,52.35,52.76,52.23,52.59,5910820
2017-05-30,52.76,53.02,52.64,52.92,7974656
2017-05-31,53.02,53.2799,52.71,52.99,8841337
2017-06-01,53.06,53.3,52.21,52.3,13312106
2017-06-02,52.7,53.01,52.36,52.98,18462510
2017-06-05,53.0,53.23,52.7,53.01,5725025
2017-06-06,52.9,53.1,52.43,52.48,8892894
2017-06-07,52.79,53.36,52.75,53.23,7416029
2017-06-08,53.54,54.14,53.15,53.2,7680155
2017-06-09,53.2,53.47,52.8,53.46,8341639
2017-06-12,53.51,54.25,53.5,54.03,9180010
2017-06-13,54.03,54.66,53.84,54.31,8704635
2017-06-14,54.48,54.67,53.95,54.66,6657071
2017-06-15,54.0,54.05,52.73,52.9,16034253
2017-06-16,51.75,51.84,50.79,51.1,25422485
2017-06-19,51.42,52.22,51.4,52.02,11098434
2017-06-20,52.05,52.13,51.1,51.56,10657174
2017-06-21,51.9,52.685,51.9,52.59,12948665
2017-06-22,52.6,52.62,52.09,52.4,10310968
2017-06-23,52.15,52.915,51.67,52.85,8286992
2017-06-26,52.95,53.57,52.67,53.28,7805929
2017-06-27,53.19,53.26,52.64,52.95,7805954
2017-06-28,53.17,53.61,52.96,53.36,7452463
2017-06-29,53.33,53.63,52.99,53.17,11942423
2017-06-30,56.6,59.71,56.5,59.0,45870400
2017-07-03,58.37,59.01,58.33,58.65,9908761
2017-07-05,58.24,58.29,57.51,57.56,16060361
2017-07-06,57.45,57.72,57.0,57.16,9013156
2017-07-07,57.4,58.08,57.03,57.98,7960765
2017-07-10,57.89,58.81,57.68,58.73,8882866
2017-07-11,58.54,58.93,58.04,58.18,7218344
2017-07-12,58.31,58.75,58.1,58.22,7215190
2017-07-13,58.22,58.58,57.93,57.94,8105730
2017-07-14,57.95,58.21,57.64,58.0,6239192
2017-07-17,58.0,58.35,57.755,57.79,6814937
2017-07-18,57.74,58.08,57.47,57.65,4812655
2017-07-19,57.6,57.875,57.3925,57.77,4371314
2017-07-20,59.12,59.59,58.8,59.1,11756824
2017-07-21,59.0,60.0,58.91,59.95,11012537
2017-07-24,59.69,59.7701,58.761,58.95,7114145
2017-07-25,59.32,59.52,58.92,59.39,5121957
2017-07-26,59.09,59.13,58.32,58.36,5405479
2017-07-27,58.6,58.68,57.985,58.15,8099235
2017-07-28,58.15,58.735,57.97,58.67,5037386
2017-07-31,58.71,59.12,58.33,59.05,6128762
2017-08-01,59.0,59.94,58.9,59.84,8941908
2017-08-02,59.55,59.95,59.27,59.79,4118493
2017-08-03,59.8,60.53,59.64,60.14,5651591
2017-08-04,60.17,60.34,59.63,59.76,4099118
2017-08-07,59.82,60.1,59.71,59.79,3984257
2017-08-08,59.88,60.12,59.36,59.46,5579607
2017-08-09,59.42,59.965,59.26,59.9,5154261
2017-08-10,59.68,59.69,59.06,59.07,5553866
2017-08-11,58.73,59.27,58.59,58.97,4975573
2017-08-14,59.15,60.0,59.13,59.78,5838268
2017-08-15,58.94,59.01,58.29,58.56,8863222
2017-08-16,58.9,59.05,58.221,58.54,5460194
2017-08-17,58.53,58.7445,57.42,57.46,8904122
2017-08-18,54.85,55.42,54.17,54.95,22843960
2017-08-21,54.44,54.44,53.105,53.61,13255490
2017-08-22,53.92,54.41,53.79,54.13,8101468
2017-08-23,53.92,54.08,53.445,53.61,6336076
2017-08-24,53.93,53.97,53.46,53.84,5392383
2017-08-25,54.03,54.2,53.5375,53.9,6401011
2017-08-28,54.07,54.43,53.615,53.73,5198255
2017-08-29,52.74,52.8775,52.065,52.73,12677668
2017-08-30,52.8,52.96,52.25,52.56,6988404
2017-08-31,52.6,52.98,52.47,52.81,7667789
2017-09-01,53.0,53.45,52.9,53.36,5503836
2017-09-05,53.25,53.47,52.88,53.01,6306497
2017-09-06,53.12,53.34,52.71,52.76,7277442
2017-09-07,52.76,52.85,52.34,52.39,6849554
2017-09-08,52.25,52.51,52.11,52.2,8484006
2017-09-11,52.38,53.13,52.32,53.03,8527706
2017-09-12,53.77,54.09,53.3,53.4,7807840
2017-09-13,53.45,53.64,53.04,53.52,5915354
2017-09-14,53.54,53.89,53.12,53.73,7478837
2017-09-15,53.86,54.06,53.52,53.87,9820057
2017-09-18,53.87,54.16,53.4,53.5,8155643
2017-09-19,52.78,54.05,52.51,53.33,14607706
2017-09-20,53.49,53.64,53.04,53.56,6973534
2017-09-21,53.55,53.64,53.09,53.19,8016973
2017-09-22,53.02,53.61,52.8,53.24,10903065
2017-09-25,53.08,53.56,53.0,53.23,12194742
2017-09-26,53.18,53.97,52.98,53.7,14213350
2017-09-27,52.17,52.69,51.03,52.67,35853124
2017-09-28,52.8,53.03,52.33,52.63,11285042
2017-09-29,52.59,52.82,51.76,51.85,12025158
2017-10-02,52.16,52.21,51.66,51.87,7486231
2017-10-03,52.0,52.05,51.4,51.47,8059110
2017-10-04,51.51,52.13,51.4,52.08,8108079
2017-10-05,52.01,52.32,51.775,52.18,5028209
2017-10-06,52.2,52.46,52.12,52.42,5233937
2017-10-09,52.23,52.3,51.5,51.52,6864820
2017-10-10,51.58,51.82,51.37,51.53,8349811
2017-10-11,51.39,51.52,50.83,51.03,8990627
2017-10-12,51.0,51.12,50.35,50.83,2646542
2017-10-13,50.83,51.07,50.4,50.98,4142470
2017-10-16,50.8,51.405,50.64,51.37,9295514
2017-10-17,51.5,52.04,51.38,52.0,9437231
2017-10-18,52.18,52.4,52.1,52.3,10729274
2017-10-19,51.66,52.8,51.48,52.69,12563336
2017-10-20,52.79,53.5,52.79,53.06,12357612
2017-10-23,53.06,53.95,53.0,53.66,12059509
2017-10-24,53.9,54.0,53.1,53.42,14727551
2017-10-25,53.43,55.905,52.67,54.9245,22918301
2017-10-26,55.26,57.25,55.14,56.81,21763064
2017-10-27,55.82,56.36,55.65,55.96,12452190
2017-10-30,55.71,55.93,54.84,55.27,9880004
2017-10-31,54.75,55.28,54.52,54.99,9691459
2017-11-01,55.42,55.5,54.85,55.07,7340709
2017-11-02,55.15,55.32,54.59,55.12,7150987
2017-11-03,55.15,55.72,55.04,55.71,9287951
2017-11-06,55.29,56.13,55.14,56.04,9236671
2017-11-07,55.75,56.015,55.02,55.15,7356767
2017-11-08,55.0,55.77,54.89,55.76,7079371
2017-11-09,55.5,56.35,55.31,56.13,10854910
2017-11-10,55.88,56.49,55.62,56.09,7533874
2017-11-13,55.66,56.085,55.66,55.91,10070701
2017-11-14,55.71,56.18,55.53,55.98,5023748
2017-11-15,55.96,56.87,55.08,56.63,6598543
2017-11-16,56.62,57.2775,56.41,57.23,7968197
2017-11-17,58.54,59.53,58.37,59.19,15275318
2017-11-20,58.63,59.5,57.98,59.25,8441225
2017-11-21,59.03,59.4,58.93,59.39,8644520
2017-11-22,59.18,59.34,58.94,59.07,8501289
2017-11-24,59.0,59.35,58.91,59.32,3400441
2017-11-27,59.2,59.7,59.17,59.63,7771640
2017-11-28,58.76,59.6,58.54,59.58,8639368
2017-11-29,59.73,60.63,59.73,60.36,12022818
2017-11-30,60.26,61.21,60.2,60.42,12551210
2017-12-01,60.42,60.43,59.24,59.88,10113675
2017-12-04,60.27,60.695,59.97,60.1,7507367
2017-12-05,60.65,60.8,59.65,60.42,8737956
2017-12-06,60.41,60.85,59.7,59.72,7806059
2017-12-07,59.86,61.06,59.65,60.6,6066962
2017-12-08,60.5,61.37,60.29,61.3,5913287
2017-12-11,61.37,62.22,61.3,61.91,8988202
2017-12-12,61.81,62.53,61.65,62.17,7319761
2017-12-13,62.22,64.46,62.02,64.3,15759848
2017-12-14,64.435,64.85,64.05,64.53,12968876
2017-12-15,64.93,65.07,64.15,64.79,15158735
2017-12-18,64.99,65.08,64.39,64.81,12633649
2017-12-19,65.09,65.185,64.18,64.24,8197588
2017-12-20,64.4,64.5,63.58,63.59,12358225
2017-12-21,64.33,64.98,63.3,64.77,13218571
2017-12-22,61.21,63.54,60.13,63.29,20369725
2017-12-26,62.9,63.89,62.81,63.65,4438641
2017-12-27,63.56,63.6,62.77,62.95,6091767
2017-12-28,63.0,63.32,62.85,62.95,3950551
2017-12-29,63.21,63.37,62.55,62.55,5195058
2018-01-02,62.85,63.49,62.85,63.49,5559283
2018-01-03,63.48,63.66,62.76,63.48,6086964
2018-01-04,63.4,63.55,62.55,63.44,5727712
2018-01-05,63.7,64.3,63.4701,63.98,11482945
2018-01-08,64.15,64.71,63.98,64.55,11888826
2018-01-09,64.23,64.72,63.47,64.09,6697632
2018-01-10,63.88,64.23,63.435,64.22,4902505
2018-01-11,64.03,64.31,63.78,64.29,5049597
2018-01-12,64.5,64.725,64.315,64.67,5045094
2018-01-16,64.78,65.36,63.37,63.42,8884907
2018-01-17,63.67,64.01,63.08,63.81,7335906
2018-01-18,64.0,64.21,63.54,64.11,5454607
2018-01-19,65.31,67.24,65.12,67.21,12634645
2018-01-22,66.55,66.83,65.76,66.39,8294425
2018-01-23,66.53,67.325,66.445,67.14,6322747
2018-01-24,67.34,68.18,67.07,68.0,7356739
